GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
password-app,com.ucoruh.password,DatabasePasswordStorage,48,260,2,8,16,82,2,12,0,9
password-app,com.ucoruh.password,AuthManager,6,42,3,3,0,15,2,8,0,7
password-app,com.ucoruh.password,PasswordManager,15,136,1,8,6,47,2,12,1,7
password-app,com.ucoruh.password,PasswordGenerator,3,45,0,2,1,11,1,3,1,2
password-app,com.ucoruh.password,AutoLoginManager,3,4,0,0,1,2,1,1,1,1
password-app,com.ucoruh.password,PlatformManager,3,4,0,0,1,2,1,1,1,1
password-app,com.ucoruh.password,Password,0,37,0,0,0,13,0,7,0,7
password-app,com.ucoruh.password,PasswordStorageFactory,7,13,1,2,1,3,2,2,1,1
password-app,com.ucoruh.password,FilePasswordStorage,24,215,6,10,8,56,6,10,0,8
password-app,com.ucoruh.password,StorageType,0,15,0,0,0,3,0,1,0,1
password-app,com.ucoruh.password,PasswordApp,22,87,2,11,9,36,4,8,2,1
